Transaction,Item,period_day,weekday_weekend
1,Bread,morning,weekend
2,Scandinavian,morning,weekend
2,Scandinavian,morning,weekend
3,Hot chocolate,morning,weekend
3,Jam,morning,weekend
3,Cookies,morning,weekend
4,Muffin,morning,weekend
5,Coffee,morning,weekend
5,Pastry,morning,weekend
5,Bread,morning,weekend
6,Medialuna,morning,weekend
6,Pastry,morning,weekend
6,Muffin,morning,weekend
7,Medialuna,morning,weekend
7,Pastry,morning,weekend
7,Coffee,morning,weekend
7,Tea,morning,weekend
8,Pastry,morning,weekend
8,Bread,morning,weekend
9,Bread,morning,weekend
9,Muffin,morning,weekend
10,Scandinavian,morning,weekend
10,Medialuna,morning,weekend
11,Bread,morning,weekend
11,Medialuna,morning,weekend
11,Bread,morning,weekend
12,Jam,morning,weekend
12,Coffee,morning,weekend
12,Tartine,morning,weekend
12,Pastry,morning,weekend
12,Tea,morning,weekend
13,Basket,morning,weekend
13,Bread,morning,weekend
13,Coffee,morning,weekend
14,Bread,morning,weekend
14,Medialuna,morning,weekend
14,Pastry,morning,weekend
15,Mineral water,morning,weekend
15,Scandinavian,morning,weekend
16,Bread,morning,weekend
16,Medialuna,morning,weekend
16,Coffee,morning,weekend
17,Hot chocolate,morning,weekend
18,Farm House,morning,weekend
19,Farm House,morning,weekend
19,Bread,morning,weekend
20,Bread,morning,weekend
20,Medialuna,morning,weekend
21,Coffee,morning,weekend
21,Coffee,morning,weekend
21,Medialuna,morning,weekend
21,Bread,morning,weekend
22,Jam,morning,weekend
23,Scandinavian,morning,weekend
23,Muffin,morning,weekend
24,Bread,morning,weekend
25,Scandinavian,morning,weekend
26,Fudge,morning,weekend
27,Scandinavian,morning,weekend
28,Coffee,morning,weekend
28,Bread,morning,weekend
29,Bread,morning,weekend
29,Jam,morning,weekend
30,Bread,morning,weekend
31,Basket,morning,weekend
32,Scandinavian,morning,weekend
32,Muffin,morning,weekend
33,Coffee,morning,weekend
34,Coffee,morning,weekend
